Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
Свободное назначение · 1008.5 м²,177000000,175508,Алматы,,,1008.5,22 нояб.,1407
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки · 70 м²",67000000,957143,Алматы,,1961.0,70.0,22 нояб.,1300
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 377 м²",395850000,1050000,Алматы,,1976.0,377.0,22 нояб.,19
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 4124 м²",3000000000,727449,Алматы,,,4124.0,22 нояб.,25
Свободное назначение · 66.2 м²,110000000,1661631,Алматы,,2025.0,66.2,22 нояб.,611
"Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 208.9 м²",220000000,1053135,Алматы,,,208.9,22 нояб.,18
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки · 378 м²",170000000,449735,Алматы,,2019.0,378.0,22 нояб.,24
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 591 м²",260000000,439932,Алматы,,2010.0,591.0,22 нояб.,52
"Бани, гостиницы и зоны отдыха · 261.4 м²",230000000,879878,Алматы,,,261.4,22 нояб.,427
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 1260 м²",1125000000,892857,Алматы,,2000.0,1260.0,22 нояб.,18
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, салоны красоты · 202 м²",198000000,980198,Алматы,,,202.0,22 нояб.,30
Общепит · 1360 м²,1200000000,882353,Алматы,,1951.0,1360.0,22 нояб.,6278
Общепит · 72 м²,15000000,208333,Алматы,,,72.0,22 нояб.,535
"Свободное назначение, офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 130 м²",86100000,662308,Алматы,,2001.0,130.0,22 нояб.,707
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки · 990 м²",430000000,434343,Алматы,,2008.0,990.0,22 нояб.,19
"Свободное назначение, офисы, магазины и бутики, склады · 27 м²",14500000,537037,Алматы,,2009.0,27.0,22 нояб.,53
"Свободное назначение, офисы · 210 м²",115000000,547619,Алматы,,,210.0,22 нояб.,19
Свободное назначение · 467.2 м²,193239000,413611,Алматы,,2007.0,467.2,22 нояб.,2673
"Свободное назначение, офисы · 67 м²",60000000,895522,Алматы,,2022.0,67.0,22 нояб.,444
Офисы · 118.1 м²,92051000,779433,Алматы,,2005.0,118.1,22 нояб.,886
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, бани, гостиницы и зоны отдыха, образование, развлечения · 190 м²",155000000,815789,Алматы,,,190.0,22 нояб.,31
"Свободное назначение, офисы, магазины и бутики, медцентры и аптеки, образование · 75 м²",120000000,1600000,Алматы,,,75.0,22 нояб.,8
"Свободное назначение, офисы, магазины и бутики, склады · 38 м²",3000000,78947,Алматы,,,38.0,22 нояб.,1445
Общепит · 900 м²,1176000000,1306667,Алматы,,1985.0,900.0,22 нояб.,862
"Свободное назначение, магазины и бутики, общепит · 15 м²",2000000,133333,Алматы,,2011.0,15.0,22 нояб.,457
Свободное назначение · 43 м²,24000000,558140,Алматы,,,43.0,22 нояб.,16
